year,page,pdf_field_name,short_key,field_type,semantic_label,rect_x0,rect_y0,rect_x1,rect_y1
2023,1,topmostSubform[0].Page1[0].f1_38[0],f1_38,Text,Line 15 - Taxable income,504.0,486.0,576.0,498.0
2023,1,topmostSubform[0].Page1[0].f1_39[0],f1_39,Text,,410.4,498.0,481.6,510.0
2023,1,topmostSubform[0].Page1[0].f1_40[0],f1_40,Text,,504.0,510.0,576.0,522.0
2023,1,topmostSubform[0].Page1[0].f1_41[0],f1_41,Text,,252.0,522.0,323.2,534.0
2023,1,topmostSubform[0].Page1[0].f1_42[0],f1_42,Text,,504.0,522.0,576.0,534.0
2023,1,topmostSubform[0].Page1[0].f1_43[0],f1_43,Text,,252.0,534.0,323.2,546.0
2023,1,topmostSubform[0].Page1[0].f1_44[0],f1_44,Text,,504.0,534.0,576.0,546.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_45[0],f1_45,Text,,252.0,546.0,323.2,558.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_46[0],f1_46,Text,,504.0,546.0,576.0,558.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_47[0],f1_47,Text,,252.0,558.0,323.2,570.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_48[0],f1_48,Text,,504.0,558.0,576.0,570.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_49[0],f1_49,Text,,252.0,570.0,323.2,582.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_50[0],f1_50,Text,,504.0,570.0,576.0,582.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].c1_21[0],c1_21,CheckBox,,465.2,584.0,473.2,592.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].c1_22[0],c1_22,CheckBox,,465.2,596.0,473.2,604.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_51[0],f1_51,Text,,504.0,594.0,576.0,606.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_52[0],f1_52,Text,,504.0,606.0,576.0,618.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_53[0],f1_53,Text,,504.0,618.0,576.0,630.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_54[0],f1_54,Text,,504.0,630.0,576.0,642.0
2023,1,topmostSubform[0].Page1[0].Line4a-11_ReadOrder[0].f1_55[0],f1_55,Text,,504.0,642.0,576.0,654.0
2023,1,topmostSubform[0].Page1[0].f1_56[0],f1_56,Text,,504.0,654.0,576.0,666.0
2023,1,topmostSubform[0].Page1[0].f1_57[0],f1_57,Text,,504.0,666.0,576.0,678.0
2023,1,topmostSubform[0].Page1[0].f1_58[0],f1_58,Text,,504.0,678.0,576.0,690.0
2023,1,topmostSubform[0].Page1[0].f1_59[0],f1_59,Text,,504.0,690.0,576.0,702.0
2023,2,topmostSubform[0].Page2[0].c2_1[0],c2_1,CheckBox,,297.2,38.0,305.2,46.0
2023,2,topmostSubform[0].Page2[0].c2_2[0],c2_2,CheckBox,,347.6,38.0,355.6,46.0
2023,2,topmostSubform[0].Page2[0].c2_3[0],c2_3,CheckBox,,398.0,38.0,406.0,46.0
2023,2,topmostSubform[0].Page2[0].f2_01[0],f2_01,Text,,410.4,36.0,446.4,48.0
